date,city,company,desc,price
2026-05-01,BANGALORE,Vencobb,(Large) Per kg,107.0
2026-05-01,HASSAN,Vencobb,(Large) Per kg,107.0
2026-05-01,MYSORE,Vencobb,(Large) Per kg,107.0
2026-05-01,SHIMOGA,Vencobb,(Large) Per kg,107.0
2026-05-01,hosadurga,Vencobb,(Large) Per Kg,107.0
2026-05-02,BANGALORE,Vencobb,(Large) Per kg,110.0
2026-05-02,HASSAN,Vencobb,(Large) Per kg,110.0
2026-05-02,MYSORE,Vencobb,(Large) Per kg,110.0
2026-05-02,SHIMOGA,Vencobb,(Large) Per kg,110.0
2026-05-02,hosadurga,Vencobb,(Large) Per Kg,110.0
2026-05-03,BANGALORE,Vencobb,(Large) Per kg,115.0
2026-05-03,HASSAN,Vencobb,(Large) Per kg,115.0
2026-05-03,MYSORE,Vencobb,(Large) Per kg,115.0
2026-05-03,SHIMOGA,Vencobb,(Large) Per kg,115.0
2026-05-03,hosadurga,Vencobb,(Large) Per Kg,115.0
2026-05-04,BANGALORE,Vencobb,(Large) Per kg,120.0
2026-05-04,HASSAN,Vencobb,(Large) Per kg,120.0
2026-05-04,MYSORE,Vencobb,(Large) Per kg,120.0
2026-05-04,SHIMOGA,Vencobb,(Large) Per kg,120.0
2026-05-04,hosadurga,Vencobb,(Large) Per Kg,120.0
2026-05-05,BANGALORE,Vencobb,(Large) Per kg,122.0
2026-05-05,HASSAN,Vencobb,(Large) Per kg,122.0
2026-05-05,MYSORE,Vencobb,(Large) Per kg,122.0
2026-05-05,SHIMOGA,Vencobb,(Large) Per kg,122.0
2026-05-05,hosadurga,Vencobb,(Large) Per Kg,122.0
2026-05-06,BANGALORE,Vencobb,(Large) Per kg,122.0
2026-05-06,HASSAN,Vencobb,(Large) Per kg,122.0
2026-05-06,MYSORE,Vencobb,(Large) Per kg,122.0
2026-05-06,SHIMOGA,Vencobb,(Large) Per kg,122.0
2026-05-06,hosadurga,Vencobb,(Large) Per Kg,122.0
2026-05-07,BANGALORE,Vencobb,(Large) Per kg,125.0
2026-05-07,HASSAN,Vencobb,(Large) Per kg,125.0
2026-05-07,MYSORE,Vencobb,(Large) Per kg,125.0
2026-05-07,SHIMOGA,Vencobb,(Large) Per kg,125.0
2026-05-07,hosadurga,Vencobb,(Large) Per Kg,125.0
2026-05-08,BANGALORE,Vencobb,(Large) Per kg,127.0
2026-05-08,HASSAN,Vencobb,(Large) Per kg,127.0
2026-05-08,MYSORE,Vencobb,(Large) Per kg,127.0
2026-05-08,SHIMOGA,Vencobb,(Large) Per kg,127.0
2026-05-08,hosadurga,Vencobb,(Large) Per Kg,127.0
2026-05-09,BANGALORE,Vencobb,(Large) Per kg,130.0
2026-05-09,HASSAN,Vencobb,(Large) Per kg,130.0
2026-05-09,MYSORE,Vencobb,(Large) Per kg,130.0
2026-05-09,SHIMOGA,Vencobb,(Large) Per kg,130.0
2026-05-09,hosadurga,Vencobb,(Large) Per Kg,130.0
2026-05-10,BANGALORE,Vencobb,(Large) Per kg,135.0
2026-05-10,HASSAN,Vencobb,(Large) Per kg,135.0
2026-05-10,MYSORE,Vencobb,(Large) Per kg,135.0
2026-05-10,SHIMOGA,Vencobb,(Large) Per kg,135.0
2026-05-10,hosadurga,Vencobb,(Large) Per Kg,135.0
2026-05-11,BANGALORE,Vencobb,(Large) Per kg,138.0
2026-05-11,HASSAN,Vencobb,(Large) Per kg,137.0
2026-05-11,MYSORE,Vencobb,(Large) Per kg,135.0
2026-05-11,SHIMOGA,Vencobb,(Large) Per kg,137.0
2026-05-11,hosadurga,Vencobb,(Large) Per Kg,137.0
2026-05-12,BANGALORE,Vencobb,(Large) Per kg,140.0
2026-05-12,HASSAN,Vencobb,(Large) Per kg,139.0
2026-05-12,MYSORE,Vencobb,(Large) Per kg,137.0
2026-05-12,SHIMOGA,Vencobb,(Large) Per kg,140.0
2026-05-12,hosadurga,Vencobb,(Large) Per Kg,140.0
2026-05-13,BANGALORE,Vencobb,(Large) Per kg,140.0
2026-05-13,HASSAN,Vencobb,(Large) Per kg,139.0
2026-05-13,MYSORE,Vencobb,(Large) Per kg,137.0
2026-05-13,SHIMOGA,Vencobb,(Large) Per kg,139.0
2026-05-13,hosadurga,Vencobb,(Large) Per Kg,139.0
2026-05-14,BANGALORE,Vencobb,(Large) Per kg,140.0
2026-05-14,HASSAN,Vencobb,(Large) Per kg,139.0
2026-05-14,MYSORE,Vencobb,(Large) Per kg,137.0
2026-05-14,SHIMOGA,Vencobb,(Large) Per kg,139.0
2026-05-14,hosadurga,Vencobb,(Large) Per Kg,139.0
2026-05-15,BANGALORE,Vencobb,(Large) Per kg,132.0
2026-05-15,HASSAN,Vencobb,(Large) Per kg,131.0
2026-05-15,MYSORE,Vencobb,(Large) Per kg,129.0
2026-05-15,SHIMOGA,Vencobb,(Large) Per kg,131.0
2026-05-15,hosadurga,Vencobb,(Large) Per Kg,131.0
2026-05-16,BANGALORE,Vencobb,(Large) Per kg,122.0
2026-05-16,HASSAN,Vencobb,(Large) Per kg,124.0
2026-05-16,MYSORE,Vencobb,(Large) Per kg,122.0
2026-05-16,SHIMOGA,Vencobb,(Large) Per kg,122.0
2026-05-16,hosadurga,Vencobb,(Large) Per Kg,122.0
2026-05-17,BANGALORE,Vencobb,(Large) Per kg,116.0
2026-05-17,HASSAN,Vencobb,(Large) Per kg,118.0
2026-05-17,MYSORE,Vencobb,(Large) Per kg,116.0
2026-05-17,SHIMOGA,Vencobb,(Large) Per kg,116.0
2026-05-17,hosadurga,Vencobb,(Large) Per Kg,116.0
